id,country_id,state_name,state_code,state_initial,active,reason
550,62,Chlef,0,,1,NULL
551,62,Constantine,0,,1,NULL
553,62,Mostaganem,0,,1,NULL
554,62,Oran,0,,1,NULL
557,62,Skikda,0,,1,NULL
559,62,Tiaret,0,,1,NULL
560,62,Tlemcen,0,,1,NULL
561,63,Azuay,0,,1,NULL
563,63,El Oro,0,,1,NULL
564,63,Esmeraldas,0,,1,NULL
565,63,Guayas,0,,1,NULL
566,63,Imbabura,0,,1,NULL
567,63,Loja,0,,1,NULL
570,63,Pichincha,0,,1,NULL
571,63,Tungurahua,0,,1,NULL
572,65,al-Buhayra,0,,1,NULL
573,65,al-Daqahliya,0,,1,NULL
574,65,al-Faiyum,0,,1,NULL
575,65,al-Gharbiya,0,,1,NULL
576,65,al-Minufiya,0,,1,NULL
577,65,al-Minya,0,,1,NULL
578,65,al-Qalyubiya,0,,1,NULL
579,65,al-Sharqiya,0,,1,NULL
580,65,Aleksandria,0,,1,NULL
581,65,Assuan,0,,1,NULL
582,65,Asyut,0,,1,NULL
583,65,Bani Suwayf,0,,1,NULL
584,65,Giza,0,,1,NULL
585,65,Ismailia,0,,1,NULL
586,65,Kafr al-Shaykh,0,,1,NULL
587,65,Kairo,0,,1,NULL
588,65,Luxor,0,,1,NULL
589,65,Port Said,0,,1,NULL
590,65,Qina,0,,1,NULL
591,65,Sawhaj,0,,1,NULL
592,65,Shamal Sina,0,,1,NULL
593,65,Suez,0,,1,NULL
594,67,Maekel,0,,1,NULL
596,68,Andalusia,0,,1,NULL
597,68,Aragonia,0,,1,NULL
598,68,Asturia,0,,1,NULL
599,68,Balears,0,,1,NULL
600,68,Baskimaa,0,,1,NULL
601,68,Canary Islands,0,,1,NULL
602,68,Cantabria,0,,1,NULL
603,68,Castilla and Lean,0,,1,NULL
604,68,Extremadura,0,,1,NULL
605,68,Galicia,0,,1,NULL
606,68,Kastilia-La Mancha,0,,1,NULL
607,68,Katalonia,0,,1,NULL
608,68,La Rioja,0,,1,NULL
609,68,Madrid,0,,1,NULL
610,68,Murcia,0,,1,NULL
612,68,Valencia,0,,1,NULL
613,64,Harjumaa,0,,1,NULL
614,64,Tartumaa,0,,1,NULL
615,69,Addis Abeba,0,,1,NULL
616,69,Amhara,0,,1,NULL
617,69,Dire Dawa,0,,1,NULL
618,69,Oromia,0,,1,NULL
619,69,Tigray,0,,1,NULL
620,70,Newmaa,0,,1,NULL
622,70,Pirkanmaa,0,,1,NULL
623,70,Pohjois-Pohjanmaa,0,,1,NULL
625,71,Central,0,,1,NULL
626,72,East Falkland,0,,1,NULL
627,75,Alsace,0,,1,NULL
628,75,Aquitaine,0,,1,NULL
629,75,Auvergne,0,,1,NULL
631,75,Basse-Normandie,0,,1,NULL
632,75,Bourgogne,0,,1,NULL
633,75,Bretagne,0,,1,NULL
634,75,Centre,0,,1,NULL
635,75,Champagne-Ardenne,0,,1,NULL
637,75,Haute-Normandie,0,,1,NULL
638,75,Languedoc-Roussillon,0,,1,NULL
639,75,Limousin,0,,1,NULL
640,75,Lorraine,0,,1,NULL
642,75,Nord-Pas-de-Calais,0,,1,NULL
643,75,Pays de la Loire,0,,1,NULL
644,75,Picardie,0,,1,NULL
650,76,Estuaire,0,,1,NULL
652,77,England,0,,1,NULL
653,77,Jersey,0,,1,NULL
654,77,North Ireland,0,,1,NULL
655,77,Scotland,0,,1,NULL
656,77,Wales,0,,1,NULL
659,79,Imereti,0,,1,NULL
660,79,Kvemo Kartli,0,,1,NULL
661,79,Tbilisi,0,,1,NULL
662,82,Ashanti,0,,1,NULL
663,82,Greater Accra,0,,1,NULL
664,82,Northern,0,,1,NULL
